candidate,layer,sources,benchmark_results,compute_and_cost,implementation_health,strengths,weaknesses,confidence_status,website_assistant_applicability,external_evidence_closes_decision,disposition
"Explicit semantic/data-attribute allowlist","extraction","public/assistant-widget.js; app/storefront.tsx; tests/rendered-html.test.mjs","Current production-build fixture proves bounded selected context; no diverse-page quality result","Browser-local, negligible","Implemented at fd41ec4","High precision on owner-controlled pages; transparent","Requires markup contract and mutation fallback","established","Default controlled-site path","yes for current fixture only","retain control"
"Raw innerText/textContent","extraction","public/assistant-widget.js; https://arxiv.org/abs/2605.21097","Meaningful baseline; WCXB shows extraction quality varies by page type","Negligible","Native browser primitive","Zero dependency; maximum recall","Navigation, cookie, duplicate and hidden noise; truncation can discard answer","established","Mandatory lower baseline","yes as control, no as winner","retain benchmark only"
"Mozilla Readability","extraction","https://github.com/mozilla/readability; https://arxiv.org/abs/2605.21097","WCXB dev overall F1 reported 0.675 and much lower on product/service/collection than articles","Low CPU in browser/server","Pin ab4027a; active; #1019-#1021 show omitted content/site failures","Small JS integration; article focus; preserves selected markup","Can delete short/product/service sections and transcripts","established","Article/blog profile, not universal default","yes for page-type boundary","controlled candidate"
"Trafilatura / rs-trafilatura","extraction","https://github.com/adbar/trafilatura; https://arxiv.org/abs/2605.21097","WCXB reports stronger broad extraction than Readability; page-type gaps remain","CPU; Python/Rust sidecar or separate runtime","Pin c1bc953; active; #896 short Markdown structure loss; #849 duplicated code","Strong public broad-page control and metadata/structure options","Cross-runtime burden in TypeScript app; still lossy","provisional","Offline benchmark/control or service-side extraction","no","compare before integration"
"HtmlRAG cleaned/pruned HTML","structure/context","https://arxiv.org/abs/2411.02959; https://github.com/plageon/HtmlRAG","Published improvements over plain text on six QA datasets","Cleaning plus embedding/model-based block pruning; token cost","Pin 93de4a6; last code June 2025; #19 run failure; no releases recorded","Preserves headings/tables and query-relevant DOM structure","Research stack; neural pruning can delete evidence; integration mismatch","provisional","Long/noisy structured pages after deterministic blocks","no","refit algorithm only after W1"
"Static HTML fetch","acquisition","https://link.springer.com/article/10.1007/s00607-026-01666-5","Fast control; systematic review records fragility on JavaScript-heavy pages","Lowest latency/network/compute","Web platform primitive","Simple, cacheable, reduced attack surface","Empty application shells and post-load mutations","established","Server-side static-first profile","yes","retain control"
"Playwright rendered browser","acquisition","https://github.com/microsoft/playwright; https://arxiv.org/abs/2603.13773","LiveWeb-IE motivates live/rendered evaluation; no universal render-everything result","Browser startup/RAM/network and longer latency","Pin d5d5b0f; active; Windows close hang #42109","Executes SPAs and observes post-load DOM","Resource, nondeterminism, popups/consent, network security","established family","Fallback when static/host DOM is insufficient","yes for routing need; no for threshold","specialized candidate"
"Accessibility tree","representation","https://aclanthology.org/2026.acl-srw.50/; https://aclanthology.org/2025.emnlp-demos.55/","A11y compression reports token reduction and task gains; injection demos exploit parsed accessibility content","Browser extraction; lower tokens than full DOM","Available through browser tooling; no local adapter","Roles/names/state; interaction semantics","Bad/missing ARIA; loses visual-only evidence; still untrusted","provisional","Forms/dynamic state, not ordinary FAQ default","no","later specialized profile"
"Screenshot/visual grounding","representation","https://aclanthology.org/2025.emnlp-main.1276/; https://arxiv.org/abs/2603.13773","WebMMU finds basic extraction stronger than complex grounding/reasoning; LiveWeb-IE proposes visual grounding","Vision-model and screenshot cost/latency","Playwright capture mature; model implementation/provider unresolved","Recovers layout/image-only visible facts","Brittle grounding, higher cost, visual prompt injection","provisional","Only layout/visual evidence absent from semantic DOM","no","defer"
"Section-level current-page index","scope/retrieval","https://arxiv.org/abs/2411.02959; app/lib/retrieval.ts","Structure-aware evidence supports blocks over one flat truncation; no local result","Low CPU/local embedding depending profile","Can reuse Atlas source/chunk contract","Preserves heading provenance and answer-bearing later sections","Needs stable block IDs and budget policy","provisional","First expansion beyond 6,000 flat characters","no","first controlled candidate"
"Crawlee sitemap/site crawl plus Atlas retrieval","scope/acquisition","https://github.com/apify/crawlee; https://crawlee.dev/js/docs/3.15/examples/crawl-sitemap; app/lib/retrieval.ts","Established crawler/retrieval composition; exact site QA winner remains client-specific","Network, storage, crawl/render and index cost","Crawlee pin 2de4841 active; #3961 lock extension and #3946 v4 export defects","Avoids custom crawl queue; reuses Atlas retrieval/citations","Crawl scope, auth, duplication, freshness and SSRF constraints","provisional","Multi-page site profile","no","reuse components, do not build from scratch"
